site	focal_species	patch	year	date	recorder	writer	individual	species	number	notes										
Oerup	Dactylorhiza_majalis	O1	2022	23.5.2022	AS	RD	101	Dactylorhiza_majalis	0	NA										
Oerup	Dactylorhiza_majalis	O1	2022	23.5.2022	AS	RD	102	Dactylorhiza_majalis	3	NA										
Oerup	Dactylorhiza_majalis	O1	2022	23.5.2022	AS	RD	103	Dactylorhiza_majalis	0	NA										
Oerup	Dactylorhiza_majalis	O1	2022	23.5.2022	AS	RD	104	Dactylorhiza_majalis	2	NA										
Oerup	Dactylorhiza_majalis	O1	2022	23.5.2022	AS	RD	105	Dactylorhiza_majalis	0	NA										
Oerup	Dactylorhiza_majalis	O1	2022	23.5.2022	AS	RD	106	Dactylorhiza_majalis	1	NA										
Oerup	Dactylorhiza_majalis	O1	2022	23.5.2022	AS	RD	107	Dactylorhiza_majalis	1	NA										
Oerup	Dactylorhiza_majalis	O1	2022	23.5.2022	AS	RD	108	Dactylorhiza_majalis	0	NA										
Oerup	Dactylorhiza_majalis	O1	2022	23.5.2022	AS	RD	109	Dactylorhiza_majalis	0	NA										
Oerup	Dactylorhiza_majalis	O1	2022	23.5.2022	AS	RD	110	Dactylorhiza_majalis	1	NA										
Oerup	Dactylorhiza_majalis	O1	2022	23.5.2022	AS	RD	111	Dactylorhiza_majalis	1	NA										
Oerup	Dactylorhiza_majalis	O1	2022	23.5.2022	AS	RD	112	Dactylorhiza_majalis	0	NA										
Oerup	Dactylorhiza_majalis	O1	2022	23.5.2022	AS	RD	113	Dactylorhiza_majalis	1	NA										
Oerup	Dactylorhiza_majalis	O1	2022	23.5.2022	AS	RD	114	Dactylorhiza_majalis	0	NA										
Oerup	Dactylorhiza_majalis	O1	2022	23.5.2022	AS	RD	115	Dactylorhiza_majalis	2	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	116	Dactylorhiza_majalis	0	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	117	Dactylorhiza_majalis	3	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	118	Dactylorhiza_majalis	0	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	119	Dactylorhiza_majalis	3	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	119	Caltha_palustris	5	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	119	Cardamine_pratensis	1	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	120	Dactylorhiza_majalis	1	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	121	Dactylorhiza_majalis	2	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	121	Caltha_palustris	3	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	121	Cardamine_pratensis	1	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	121	Ranunculus_acris	2	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	122	Dactylorhiza_majalis	1	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	122	Ranunculus_acris	1	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	123	Dactylorhiza_majalis	6	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	123	Valeriana_dioica	1	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	124	Dactylorhiza_majalis	6	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	124	Valeriana_dioica	1	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	125	Dactylorhiza_majalis	6	NA										
Oerup	Dactylorhiza_majalis	O2	2022	23.5.2022	AS	RD	125	Valeriana_dioica	1	NA										
Oerup	Dactylorhiza_majalis	O3	2022	23.5.2022	AS	RD	126	Dactylorhiza_majalis	1	NA										
Oerup	Dactylorhiza_majalis	O3	2022	23.5.2022	AS	RD	126	Primula_farinosa	2	NA										
