site	species	year	date	individual	subindividual	flower	pollinaria_removed	pollen_on_stigma	herbivory	recorder	writer	notes
Oerup	Dactylorhiza_majalis	2022	23.5.2022	101	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	101	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	101	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	101	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	101	NA	5	2	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	102	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	102	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	102	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	102	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	102	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	103	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	103	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	103	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	103	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	103	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	104	NA	1	1	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	104	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	104	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	104	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	104	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	105	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	105	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	105	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	105	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	105	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	106	NA	1	1	1	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	106	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	106	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	106	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	106	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	107	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	107	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	107	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	107	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	107	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	108	NA	1	2	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	108	NA	2	2	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	108	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	108	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	108	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	109	NA	1	1	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	109	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	109	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	109	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	109	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	110	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	110	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	110	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	110	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	110	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	111	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	111	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	111	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	111	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	111	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	112	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	112	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	112	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	112	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	112	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	113	NA	1	0	1	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	113	NA	2	0	1	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	113	NA	3	0	1	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	113	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	113	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	114	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	114	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	114	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	114	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	114	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	115	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	115	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	115	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	115	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	115	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	116	NA	1	0	1	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	116	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	116	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	116	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	116	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	117	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	117	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	117	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	117	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	117	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	118	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	118	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	118	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	118	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	118	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	119	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	119	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	119	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	119	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	119	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	120	NA	1	1	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	120	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	120	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	120	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	120	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	121	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	121	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	121	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	121	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	121	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	122	NA	1	2	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	122	NA	2	2	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	122	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	122	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	122	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	123	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	123	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	123	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	123	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	123	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	124	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	124	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	124	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	124	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	124	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	125	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	125	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	125	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	125	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	125	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	126	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	126	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	126	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	126	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	126	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	127	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	127	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	127	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	127	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	127	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	128	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	128	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	128	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	128	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	128	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	129	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	129	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	129	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	129	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	129	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	130	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	130	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	130	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	130	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	130	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	131	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	131	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	131	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	131	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	131	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	132	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	132	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	132	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	132	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	132	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	133	NA	1	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	133	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	133	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	133	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	133	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	134	NA	1	2	1	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	134	NA	2	2	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	134	NA	3	2	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	134	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	134	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	135	NA	1	0	1	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	135	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	135	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	135	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	135	NA	5	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	136	NA	1	1	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	136	NA	2	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	136	NA	3	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	136	NA	4	0	0	0	AS	RD	NA
Oerup	Dactylorhiza_majalis	2022	23.5.2022	136	NA	5	0	0	0	AS	RD	NA
