site	species	year	date	individual	subindividual	patch	height_cm	flowers_open	flowers_bud	corolla_height_mm	lip_width_mm	flower_size_mm	spur_length_mm	recorder	writer	notes											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	101	NA	O1	20.00	17	6	13.00	12.09	NA	9.07	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	102	NA	O1	11.00	11	5	12.76	8.42	NA	9.63	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	103	NA	O1	17.00	7	1	13.01	8.31	NA	8.57	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	104	NA	O1	12.00	8	2	13.54	11.63	NA	8.55	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	105	NA	O1	18.00	14	2	13.83	10.24	NA	8.82	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	106	NA	O1	13.00	11	2	9.89	10.50	NA	9.20	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	107	NA	O1	14.00	5	7	13.14	10.28	NA	9.57	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	108	NA	O1	16.00	15	4	13.46	7.92	NA	12.81	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	109	NA	O1	13.00	10	0	13.82	10.05	NA	8.99	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	110	NA	O1	12.00	8	0	13.31	9.58	NA	7.65	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	111	NA	O1	13.00	13	1	11.96	10.91	NA	9.17	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	112	NA	O1	9.00	5	7	12.14	11.06	NA	9.59	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	113	NA	O1	16.00	11	0	13.84	10.75	NA	9.45	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	114	NA	O1	23.00	6	9	12.56	9.97	NA	7.74	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	115	NA	O1	18.00	14	4	13.66	10.36	NA	9.42	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	116	NA	O2	20.00	14	1	17.65	10.02	NA	8.44	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	117	NA	O2	16.00	6	6	15.07	9.47	NA	8.80	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	118	NA	O2	22.00	11	15	9.65	12.17	NA	10.69	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	119	NA	O2	23.00	5	11	14.79	10.27	NA	8.14	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	120	NA	O2	25.00	8	9	12.26	9.64	NA	4.86	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	121	NA	O2	24.00	14	0	13.56	10.28	NA	6.14	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	122	NA	O2	26.00	18	1	14.19	11.24	NA	8.70	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	123	NA	O2	24.00	10	9	11.77	8.78	NA	8.00	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	124	NA	O2	23.00	14	0	9.98	11.06	NA	7.81	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	125	NA	O2	25.00	8	0	10.18	8.07	NA	8.37	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	126	NA	O3	21.00	10	0	11.99	10.01	NA	7.95	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	127	NA	O3	18.00	8	5	11.51	10.40	NA	7.50	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	128	NA	O3	19.00	10	0	16.61	11.49	NA	11.57	AH	RD	NA											
Oerup	Dactylorhiza_majalis	2022	23.5.2022	129	NA	O3	10.00	6	10	10.17	10.06	NA	11.26	AH	RD	NA											
