individual;period;flower;pollinaria_remaining;pollen_on_stigma;recorder;writer;notes
1;early;1;2;0;MF;SA;NA
1;early;2;1;0;MF;SA;NA
1;early;3;1;0;MF;SA;NA
1;early;4;2;0;MF;SA;NA
1;early;5;2;0;MF;SA;NA
3;early;1;1;0;MF;SA;NA
3;early;2;0;0;MF;SA;NA
3;early;3;2;0;MF;SA;NA
3;early;4;2;0;MF;SA;NA
3;early;5;2;0;MF;SA;NA
4;early;1;2;0;MF;SA;NA
4;early;2;1;0;MF;SA;NA
4;early;3;1;1;MF;SA;NA
4;early;4;2;0;MF;SA;NA
4;early;5;2;0;MF;SA;NA
5;early;1;2;0;MF;SA;NA
5;early;2;2;0;MF;SA;NA
5;early;3;2;0;MF;SA;NA
5;early;4;2;0;MF;SA;NA
5;early;5;2;0;MF;SA;NA
6;early;1;0;0;MF;SA;NA
6;early;2;0;1;MF;SA;NA
6;early;3;0;0;MF;SA;NA
6;early;4;0;0;MF;SA;NA
6;early;5;0;1;MF;SA;NA
7;early;1;0;0;MF;SA;NA
7;early;2;2;0;MF;SA;NA
7;early;3;0;0;MF;SA;NA
7;early;4;2;0;MF;SA;NA
7;early;5;2;0;MF;SA;NA
8;early;1;2;0;MF;SA;NA
8;early;2;2;0;MF;SA;NA
8;early;3;2;0;MF;SA;NA
8;early;4;0;1;MF;SA;NA
8;early;5;2;0;MF;SA;NA
9;early;1;2;0;MF;SA;NA
9;early;2;1;0;MF;SA;NA
9;early;3;0;1;MF;SA;NA
9;early;4;1;0;MF;SA;NA
9;early;5;1;0;MF;SA;NA
10;early;1;0;0;MF;SA;NA
10;early;2;0;0;MF;SA;NA
10;early;3;2;0;MF;SA;NA
10;early;4;0;0;MF;SA;NA
10;early;5;2;0;MF;SA;NA
11;early;1;0;1;MF;SA;NA
11;early;2;2;0;MF;SA;NA
11;early;3;2;0;MF;SA;NA
11;early;4;0;0;MF;SA;NA
11;early;5;2;0;MF;SA;NA
12;early;1;0;1;MF;SA;NA
12;early;2;2;1;MF;SA;NA
12;early;3;0;0;MF;SA;NA
12;early;4;0;1;MF;SA;NA
12;early;5;0;0;MF;SA;NA
13;early;1;0;0;MF;SA;NA
13;early;2;0;0;MF;SA;NA
13;early;3;2;0;MF;SA;NA
13;early;4;0;1;MF;SA;NA
13;early;5;2;0;MF;SA;NA
14;early;1;2;0;MF;SA;NA
14;early;2;1;1;MF;SA;NA
14;early;3;0;0;MF;SA;NA
14;early;4;0;1;MF;SA;NA
14;early;5;1;0;MF;SA;NA
15;early;1;1;0;MF;SA;NA
15;early;2;1;1;MF;SA;NA
15;early;3;0;1;MF;SA;NA
15;early;4;2;0;MF;SA;NA
15;early;5;2;0;MF;SA;NA
16;early;1;0;0;MF;SA;NA
16;early;2;0;1;MF;SA;NA
16;early;3;2;0;MF;SA;NA
16;early;4;1;1;MF;SA;NA
16;early;5;0;1;MF;SA;NA
16;early;1;0;0;MF;SA;NA
16;early;2;2;0;MF;SA;NA
16;early;3;2;1;MF;SA;NA
16;early;4;1;0;MF;SA;NA
16;early;5;2;1;MF;SA;NA
16;early;1;2;0;MF;SA;NA
16;early;2;2;0;MF;SA;NA
16;early;3;1;0;MF;SA;NA
16;early;4;2;0;MF;SA;NA
16;early;5;0;0;MF;SA;NA
17;early;1;2;0;MF;SA;NA
17;early;2;2;0;MF;SA;NA
17;early;3;2;0;MF;SA;NA
17;early;4;1;0;MF;SA;NA
17;early;5;2;0;MF;SA;NA
18;early;1;0;0;MF;SA;NA
18;early;2;0;0;MF;SA;NA
18;early;3;2;0;MF;SA;NA
18;early;4;1;0;MF;SA;NA
18;early;5;1;0;MF;SA;NA
19;early;1;1;1;MF;SA;NA
19;early;2;0;1;MF;SA;NA
19;early;3;0;0;MF;SA;NA
19;early;4;0;1;MF;SA;NA
19;early;5;2;0;MF;SA;NA
20;early;1;0;0;MF;SA;NA
20;early;2;2;0;MF;SA;NA
20;early;3;0;0;MF;SA;NA
20;early;4;0;1;MF;SA;NA
20;early;5;1;1;MF;SA;NA
21;early;1;1;1;MF;SA;NA
21;early;2;0;1;MF;SA;NA
21;early;3;0;1;MF;SA;NA
21;early;4;2;1;MF;SA;NA
21;early;5;0;1;MF;SA;NA
41;early;1;0;0;MF;SA;NA
41;early;2;2;0;MF;SA;NA
41;early;3;2;0;MF;SA;NA
41;early;4;2;0;MF;SA;NA
41;early;5;2;1;MF;SA;NA
79;early;1;2;0;MF;SA;several_flowers_predated
79;early;2;2;0;MF;SA;several_flowers_predated
79;early;3;2;0;MF;SA;several_flowers_predated
79;early;4;1;0;MF;SA;several_flowers_predated
79;early;5;1;0;MF;SA;several_flowers_predated
80;early;1;0;0;MF;SA;several_flowers_predated
80;early;2;2;0;MF;SA;several_flowers_predated
80;early;3;2;0;MF;SA;several_flowers_predated
80;early;4;2;0;MF;SA;several_flowers_predated
80;early;5;2;0;MF;SA;several_flowers_predated
81;early;1;2;0;MF;SA;NA
83;early;1;2;0;MF;SA;NA
83;early;2;2;0;MF;SA;NA
83;early;3;2;0;MF;SA;NA
83;early;4;2;0;MF;SA;NA
83;early;5;2;0;MF;SA;NA
84;early;1;2;0;MF;SA;NA
84;early;2;2;0;MF;SA;NA
84;early;3;2;0;MF;SA;NA
84;early;4;2;0;MF;SA;NA
84;early;5;0;0;MF;SA;NA
85;early;1;1;0;MF;SA;NA
85;early;2;2;0;MF;SA;NA
85;early;3;2;0;MF;SA;NA
85;early;4;2;0;MF;SA;NA
85;early;5;2;0;MF;SA;NA
85;early;1;2;0;MF;SA;NA
85;early;2;2;0;MF;SA;NA
85;early;3;2;0;MF;SA;NA
85;early;4;2;0;MF;SA;NA
85;early;5;2;0;MF;SA;NA
86;early;1;2;0;MF;SA;NA
86;early;2;0;0;MF;SA;NA
86;early;3;0;0;MF;SA;NA
86;early;4;1;0;MF;SA;NA
86;early;5;2;0;MF;SA;NA
87;early;1;2;0;MF;SA;NA
87;early;2;2;0;MF;SA;NA
87;early;3;2;0;MF;SA;NA
87;early;4;2;0;MF;SA;NA
87;early;5;2;0;MF;SA;NA
88;early;1;2;0;MF;SA;NA
88;early;2;2;0;MF;SA;NA
88;early;3;0;0;MF;SA;NA
88;early;4;1;0;MF;SA;NA
88;early;5;2;0;MF;SA;NA
89;early;1;1;0;MF;SA;NA
89;early;2;2;0;MF;SA;NA
89;early;3;0;0;MF;SA;NA
89;early;4;2;0;MF;SA;NA
97;early;1;2;0;MF;SA;NA
97;early;2;2;0;MF;SA;NA
97;early;3;2;0;MF;SA;NA
97;early;4;2;0;MF;SA;NA
98;early;1;2;0;MF;SA;NA
98;early;2;2;0;MF;SA;NA
98;early;3;2;0;MF;SA;NA
98;early;4;2;0;MF;SA;NA
98;early;5;2;0;MF;SA;NA
99;early;1;2;0;MF;SA;NA
99;early;2;2;0;MF;SA;NA
99;early;3;2;0;MF;SA;NA
99;early;4;2;0;MF;SA;NA
99;early;5;2;0;MF;SA;NA
100;early;1;2;0;MF;SA;NA
100;early;2;2;0;MF;SA;NA
100;early;3;2;0;MF;SA;NA
101;early;1;2;0;MF;SA;NA
101;early;2;2;0;MF;SA;NA
101;early;3;2;0;MF;SA;NA
101;early;4;2;0;MF;SA;NA
101;early;5;2;0;MF;SA;NA
102;early;1;0;0;MF;SA;NA
102;early;2;2;0;MF;SA;NA
102;early;3;2;0;MF;SA;NA
102;early;4;2;0;MF;SA;NA
102;early;5;2;0;MF;SA;NA
103;early;1;0;0;MF;SA;NA
103;early;2;1;1;MF;SA;NA
103;early;3;2;0;MF;SA;NA
103;early;4;2;0;MF;SA;NA
103;early;5;2;0;MF;SA;NA
104;early;1;2;0;MF;SA;NA
104;early;2;2;0;MF;SA;NA
104;early;3;1;0;MF;SA;NA
104;early;4;2;0;MF;SA;NA
104;early;5;2;0;MF;SA;NA
105;early;1;0;0;MF;SA;NA
105;early;2;1;1;MF;SA;NA
105;early;3;0;0;MF;SA;NA
105;early;4;2;0;MF;SA;NA
105;early;5;2;0;MF;SA;NA
106;early;1;2;0;MF;SA;NA
106;early;2;2;0;MF;SA;NA
106;early;3;2;0;MF;SA;NA
106;early;4;2;0;MF;SA;NA
106;early;5;2;0;MF;SA;NA
106;early;1;2;0;MF;SA;NA
106;early;2;2;0;MF;SA;NA
106;early;3;2;0;MF;SA;NA
106;early;4;2;0;MF;SA;NA
106;early;5;2;0;MF;SA;NA
