individual;subindividual;Patch;Species;Site;Period;height_cm;flower_size_mm;spur_length_mm;spur_width_mm;fruit_number;fruit_notes;flowers_open;flowers_bud;No_of_flowers
1;NA;A;MJ;Knivsasen;early;11,8;11,83;8,87;NA;1;NA;16;12;28
3;NA;B;MJ;Knivsasen;early;12,6;14,36;12,75;NA;0;dry;7;8;15
4;NA;B;MJ;Knivsasen;early;5,5;16,66;11,11;NA;0;dry;7;4;11
5;NA;B;MJ;Knivsasen;early;5,2;15,08;8,03;NA;0;dry;10;5;15
6;NA;C;MJ;Knivsasen;early;23,3;11,81;11,52;NA;0;pred;24;2;26
7;NA;C;MJ;Knivsasen;early;16,8;11,55;6,34;NA;2;NA;25;0;25
8;NA;C;MJ;Knivsasen;early;25;12,91;7,6;NA;0;pred;10;15;25
9;NA;C;MJ;Knivsasen;early;35,4;19,29;10,42;NA;0;pred;34;1;35
10;NA;C;MJ;Knivsasen;early;20,6;12,06;7,14;NA;3;NA;20;7;27
11;NA;C;MJ;Knivsasen;early;13,2;14,02;9,7;NA;0;pred;9;3;12
12;NA;C;MJ;Knivsasen;early;13,5;14,08;9,96;NA;2;NA;8;4;12
13;NA;C;MJ;Knivsasen;early;11,8;13,45;11,87;NA;2;NA;10;1;11
14;NA;C;MJ;Knivsasen;early;16,6;15,1;9,91;NA;4;NA;11;0;11
15;NA;C;MJ;Knivsasen;early;24,2;16,9;9,06;NA;6;NA;13;0;13
16;a;C;MJ;Knivsasen;early;25,8;15,05;8,27;NA;16;NA;24;0;24
16;b;C;MJ;Knivsasen;early;25,4;13,99;12,56;NA;12;NA;22;0;22
16;c;C;MJ;Knivsasen;early;25,6;19,17;12,09;NA;7;NA;14;0;14
17;NA;C;MJ;Knivsasen;early;21,4;14,62;8,29;NA;0;pred;20;6;26
18;NA;C;MJ;Knivsasen;early;15,6;15,74;9,91;NA;0;pred;8;6;14
19;NA;C;MJ;Knivsasen;early;19,6;11,88;9,27;NA;10;NA;21;2;23
20;NA;C;MJ;Knivsasen;early;23,4;15,41;9,34;NA;12;NA;16;5;21
21;NA;C;MJ;Knivsasen;early;25,8;15,68;9,88;NA;11;NA;18;0;18
22;NA;E;MJ;Knivsasen;early;20,5;11,76;14,04;NA;0;pred;10;8;18
23;NA;F;MJ;Knivsasen;early;14,5;11,71;10,23;NA;3;NA;34;9;43
24;NA;F;MJ;Knivsasen;early;10,5;16,43;8,52;NA;2;NA;7;13;20
25;NA;F;MJ;Knivsasen;early;8;11,67;7,98;NA;2;NA;9;6;15
26;NA;F;MJ;Knivsasen;early;14,2;13,81;9,99;NA;0;pred;13;1;14
27;NA;F;MJ;Knivsasen;early;16;18,8;10,69;NA;4;NA;12;3;15
27;NA;F;MJ;Knivsasen;early;15,5;17,15;9,81;NA;4;NA;11;3;14
29;NA;F;MJ;Knivsasen;early;4;14,21;6,44;NA;0;pred;11;2;13
30;NA;F;MJ;Knivsasen;early;12,2;12,93;4,97;NA;3;NA;19;10;29
31;NA;F;MJ;Knivsasen;early;11,6;14,62;10,05;NA;8;NA;10;4;14
32;NA;F;MJ;Knivsasen;early;17,5;11,71;8,52;NA;0;NA;10;16;26
33;NA;F;MJ;Knivsasen;early;15,9;16,87;13,94;NA;0;NA;9;12;21
34;NA;F;MJ;Knivsasen;early;12;12,57;11,04;NA;0;NA;20;23;43
35;NA;F;MJ;Knivsasen;early;13,5;14,47;11,08;NA;0;NA;12;11;23
36;NA;F;MJ;Knivsasen;early;10,6;13,23;12,29;NA;1;NA;20;9;29
37;NA;F;MJ;Knivsasen;early;16,5;14,75;11,33;NA;13;NA;9;12;21
38;NA;F;MJ;Knivsasen;early;6;11,86;9,44;NA;1;NA;7;4;11
39;NA;F;MJ;Knivsasen;early;7,6;10,5;7,49;NA;3;NA;8;7;15
40;NA;F;MJ;Knivsasen;early;7,5;11,9;8,12;NA;NA;NA;5;5;10
41;NA;F;MJ;Knivsasen;early;13,8;15,28;11,24;NA;11;NA;13;17;30
42;NA;F;MJ;Knivsasen;early;10,5;16,09;11,46;NA;13;NA;18;11;29
