Species,pollination
Schoenus_ferrugineus,other
Schoenus_ferrugineus.1,other
Schoenus_ferrugineusxnigricans,other
Molinia_caerulea,other
Sesleria_caerulea,other
Festuca_ovina,other
Agrostis_stolonifera,other
Carex_flacca,other
Carex_panicea,other
Potentilla_erecta,animal
Primula_farinosa,animal
Pinguicula_vulgaris,animal
Succisa_pratensis,animal
Centaurea_jacea,animal
Prunella_grandiflora,animal
Prunella_vulgaris,animal
Prunella_grandifloraxvulgaris,animal
Polygala_amarella,animal
Centarium_littorale,animal
Parnassia_palustris,animal
Antennaria_dioica,animal
Linum_catharticum,animal
Galium_boreale,animal
Tetragonolobus_maritimus,animal
Scorzonera_humilis,animal
Tofieldia.calyculata,animal
Anthericum_ramosum,animal
Epipactis_palustris,animal
Platanthera_bifolia,animal
Gymnadenia_conopsea,animal
Gymnadenia_densiflora,animal
Gymnadenia_odoratissima,animal
Dactylorhiza_majalis_lapponica,animal
Frangula_alnus_small_plant,animal
Juniperus_communis_smallplant,other
Pinus_sylvestris_smallplant,other
Picea_abies_smallplant,other
Inula.salicina,animal
Gentianella_uliginosa_cf,animal
Euphrasia_salisburgensis,animal
Vaccinium_vitis.idaea,animal
Calamagrostis_varia,other
Carex_pulicaris,other
Carex_hostiana,other
Asperula_tinctoria,animal
Gymnadenia_sp,animal
Equisetum_palustre,other
Briza_media,other
Allium_schoneoprasum,animal
Leontodon_autumnalis,animal
Carex_oederi.lepidocarpa.jemtlandica,other
Potentilla_reptans,animal
Calluna_vulgaris,animal
Dactylorhiza_incarnata_cruenta,animal
